Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FBS","Food Balances (2010-)","001","World","5301","Domestic supply quantity","S2923","Spices","2012","2012","1000 t","9940","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5521","Feed","S2923","Spices","2012","2012","1000 t","0","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5527","Seed","S2923","Spices","2012","2012","1000 t","0","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5123","Losses","S2923","Spices","2012","2012","1000 t","548","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5154","Other uses (non-food)","S2923","Spices","2012","2012","1000 t","306","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5171","Tourist consumption","S2923","Spices","2012","2012","1000 t","60","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5170","Residuals","S2923","Spices","2012","2012","1000 t","-61","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5142","Food","S2923","Spices","2012","2012","1000 t","9088","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","645","Food supply quantity (kg/capita/yr)","S2923","Spices","2012","2012","kg/cap","1.28","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","664","Food supply (kcal/capita/day)","S2923","Spices","2012","2012","kcal/cap/d","10","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","661","Food supply (kcal)","S2923","Spices","2012","2012","million Kcal","25731307.37","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","674","Protein supply quantity (g/capita/day)","S2923","Spices","2012","2012","g/cap/d","0.37","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","671","Protein supply quantity (t)","S2923","Spices","2012","2012","t","957009.44","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","684","Fat supply quantity (g/capita/day)","S2923","Spices","2012","2012","g/cap/d","0.3","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","681","Fat supply quantity (t)","S2923","Spices","2012","2012","t","789394.96","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5511","Production","S2923","Spices","2013","2013","1000 t","10627","E","Estimated value",""
